Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
AAVE,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xba5DdD1f9d7F570dc94a51479a000E3BCE967196,0x0000000000000000000000000000000000000348,0xaD1d5344AaDE45F43E596773Bcc4c423EAbdD034,90000
ANKRETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xe05a08226c49b636acf99c40da8dc6af83ce5bb3,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x5Fb73f7Af8a29297953d3611422826039338E5b4,90000
ARB,USD,Chainlink,Yes,Yes,86400,0.05,ChainlinkOracle,0x912CE59144191C1204E64559FE8253a0e49E6548,0x0000000000000000000000000000000000000348,0xb2A824043730FE05F3DA2efaFa1CBbe83fa548D6,90000
CBETH,ETH,Chainlink,Yes,Yes,86400,0.3,ChainlinkOracle,0x1DEBd73E752bEaF79865Fd6446b0c970EaE7732f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xa668682974E3f121185a3cD94f00322beC674275,90000
CBETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x1DEBd73E752bEaF79865Fd6446b0c970EaE7732f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x0518673439245BB95A58688Bc31cd513F3D5bDd6,90000
CRVUSD,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x498Bf2B1e120FeD3ad3D42EA2165E9b73f99C1e5,0x0000000000000000000000000000000000000348,0x0a32255dd4BB6177C994bAAc73E0606fDD568f66,90000
DAI,USD,Chainlink,Yes,Yes,86400,0.1,ChainlinkOracle,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x0000000000000000000000000000000000000348,0xc5C8E77B397E531B8EC06BFb0048328B30E9eCfB,90000
ETH,USD,Chainlink,Yes,Yes,86400,0.05,ChainlinkOracle,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x0000000000000000000000000000000000000348,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,90000
ETHX,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xB4AC4078DDA43d0eB6Bb9e08b8C12A73f9FEAA7d,90000
ETHX,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x1f5C0C2CD2e9Ad1eE475660AF0bBa27aE7d87f5e,90000
EZETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x11E1836bFF2ce9d6A5bec9cA79dc998210f3886d,90000
EZETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,21600,0.5,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x989a480b6054389075CBCdC385C18CfB6FC08186,25200
FRAX,USD,Chainlink,Yes,Yes,86400,0.3,ChainlinkOracle,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x0000000000000000000000000000000000000348,0x0809E3d38d1B4214958faf06D8b1B1a2b73f2ab8,90000
GHO,USD,Chainlink,Yes,Yes,86400,0.2,ChainlinkOracle,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x0000000000000000000000000000000000000348,0x3c786e934F23375Ca345C9b8D5aD54838796E8e7,90000
